,median_travel,max_travel,95pctl_travel,activity_within_30,location_0,location_1,location_2,location_3,location_4,location_5,median_0,median_1,median_2,median_3,median_4,median_5,max_0,max_1,max_2,max_3,max_4,max_5,95pctl_0,95pctl_1,95pctl_2,95pctl_3,95pctl_4,95pctl_5,activity_0,activity_1,activity_2,activity_3,activity_4,activity_5,activity_within_threshold_0,activity_within_threshold_1,activity_within_threshold_2,activity_within_threshold_3,activity_within_threshold_4,activity_within_threshold_5
scen_31,26.0,36.0,35.0,11.0,,1.0,1.0,1.0,,,,5.0,26.0,36.0,,,,5.0,26.0,36.0,,,,5.0,26.0,36.0,,,,7.0,4.0,9.0,,,,7.0,4.0,0.0,,
scen_32,26.0,68.0,63.8,11.0,,1.0,1.0,,1.0,,,5.0,47.0,,,,,5.0,68.0,,,,,5.0,65.9,,,,,7.0,13.0,,,,,7.0,4.0,,,
scen_33,26.0,68.0,63.8,11.0,,1.0,1.0,,,1.0,,5.0,47.0,,,,,5.0,68.0,,,,,5.0,65.9,,,,,7.0,13.0,,,,,7.0,4.0,,,
scen_34,36.0,48.0,46.8,7.0,,1.0,,1.0,1.0,,,26.5,,36.0,,,,48.0,,36.0,,,,45.85,,36.0,,,,11.0,,9.0,,,,7.0,,0.0,,
scen_35,26.0,36.0,35.0,11.0,,1.0,,1.0,,1.0,,5.0,,36.0,,26.0,,5.0,,36.0,,26.0,,5.0,,36.0,,26.0,,7.0,,9.0,,4.0,,7.0,,0.0,,4.0
scen_36,26.0,68.0,63.8,11.0,,1.0,,,1.0,1.0,,5.0,,,,47.0,,5.0,,,,68.0,,5.0,,,,65.9,,7.0,,,,13.0,,7.0,,,,4.0
scen_37,26.0,36.0,35.0,11.0,,,1.0,1.0,1.0,,,,26.0,36.0,5.0,,,,26.0,36.0,5.0,,,,26.0,36.0,5.0,,,,4.0,9.0,7.0,,,,4.0,0.0,7.0,
scen_38,26.0,36.0,35.0,11.0,,,1.0,1.0,,1.0,,,20.0,36.0,,,,,26.0,36.0,,,,,25.4,36.0,,,,,11.0,9.0,,,,,11.0,0.0,,
scen_39,26.0,68.0,63.8,11.0,,,1.0,,1.0,1.0,,,47.0,,5.0,,,,68.0,,5.0,,,,65.9,,5.0,,,,13.0,,7.0,,,,4.0,,7.0,
scen_40,26.0,36.0,35.0,11.0,,,,1.0,1.0,1.0,,,,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,9.0,7.0,4.0,,,,0.0,7.0,4.0
scen_41,26.0,36.0,35.0,11.0,1.0,1.0,1.0,1.0,,,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,9.0,7.0,4.0,,,,0.0,7.0,4.0,,,
scen_42,26.0,36.0,35.0,11.0,1.0,1.0,1.0,,1.0,,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,9.0,7.0,4.0,,,,0.0,7.0,4.0,,,
scen_43,26.0,36.0,35.0,11.0,1.0,1.0,1.0,,,1.0,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,9.0,7.0,4.0,,,,0.0,7.0,4.0,,,
scen_44,36.0,48.0,46.8,7.0,1.0,1.0,,1.0,1.0,,36.0,26.5,,,,,36.0,48.0,,,,,36.0,45.85,,,,,9.0,11.0,,,,,0.0,7.0,,,,
scen_45,26.0,36.0,35.0,11.0,1.0,1.0,,1.0,,1.0,36.0,5.0,,,,26.0,36.0,5.0,,,,26.0,36.0,5.0,,,,26.0,9.0,7.0,,,,4.0,0.0,7.0,,,,4.0
scen_46,26.0,36.0,35.0,11.0,1.0,1.0,,,1.0,1.0,36.0,5.0,,,,26.0,36.0,5.0,,,,26.0,36.0,5.0,,,,26.0,9.0,7.0,,,,4.0,0.0,7.0,,,,4.0
scen_47,26.0,36.0,35.0,11.0,1.0,,1.0,1.0,1.0,,36.0,,26.0,,5.0,,36.0,,26.0,,5.0,,36.0,,26.0,,5.0,,9.0,,4.0,,7.0,,0.0,,4.0,,7.0,
scen_48,26.0,36.0,35.0,11.0,1.0,,1.0,1.0,,1.0,36.0,,20.0,,,,36.0,,26.0,,,,36.0,,25.4,,,,9.0,,11.0,,,,0.0,,11.0,,,
scen_49,26.0,36.0,35.0,11.0,1.0,,1.0,,1.0,1.0,36.0,,26.0,,5.0,,36.0,,26.0,,5.0,,36.0,,26.0,,5.0,,9.0,,4.0,,7.0,,0.0,,4.0,,7.0,
scen_50,26.0,36.0,35.0,11.0,1.0,,,1.0,1.0,1.0,36.0,,,,5.0,26.0,36.0,,,,5.0,26.0,36.0,,,,5.0,26.0,9.0,,,,7.0,4.0,0.0,,,,7.0,4.0
scen_51,26.0,36.0,35.0,11.0,,1.0,1.0,1.0,1.0,,,5.0,26.0,36.0,,,,5.0,26.0,36.0,,,,5.0,26.0,36.0,,,,7.0,4.0,9.0,,,,7.0,4.0,0.0,,
scen_52,26.0,36.0,35.0,11.0,,1.0,1.0,1.0,,1.0,,5.0,26.0,36.0,,,,5.0,26.0,36.0,,,,5.0,26.0,36.0,,,,7.0,4.0,9.0,,,,7.0,4.0,0.0,,
scen_53,26.0,68.0,63.8,11.0,,1.0,1.0,,1.0,1.0,,5.0,47.0,,,,,5.0,68.0,,,,,5.0,65.9,,,,,7.0,13.0,,,,,7.0,4.0,,,
scen_54,26.0,36.0,35.0,11.0,,1.0,,1.0,1.0,1.0,,5.0,,36.0,,26.0,,5.0,,36.0,,26.0,,5.0,,36.0,,26.0,,7.0,,9.0,,4.0,,7.0,,0.0,,4.0
scen_55,26.0,36.0,35.0,11.0,,,1.0,1.0,1.0,1.0,,,26.0,36.0,5.0,,,,26.0,36.0,5.0,,,,26.0,36.0,5.0,,,,4.0,9.0,7.0,,,,4.0,0.0,7.0,
scen_56,26.0,36.0,35.0,11.0,1.0,1.0,1.0,1.0,1.0,,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,9.0,7.0,4.0,,,,0.0,7.0,4.0,,,
scen_57,26.0,36.0,35.0,11.0,1.0,1.0,1.0,1.0,,1.0,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,9.0,7.0,4.0,,,,0.0,7.0,4.0,,,
scen_58,26.0,36.0,35.0,11.0,1.0,1.0,1.0,,1.0,1.0,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,9.0,7.0,4.0,,,,0.0,7.0,4.0,,,
scen_59,26.0,36.0,35.0,11.0,1.0,1.0,,1.0,1.0,1.0,36.0,5.0,,,,26.0,36.0,5.0,,,,26.0,36.0,5.0,,,,26.0,9.0,7.0,,,,4.0,0.0,7.0,,,,4.0
scen_60,26.0,36.0,35.0,11.0,1.0,,1.0,1.0,1.0,1.0,36.0,,26.0,,5.0,,36.0,,26.0,,5.0,,36.0,,26.0,,5.0,,9.0,,4.0,,7.0,,0.0,,4.0,,7.0,
scen_61,26.0,36.0,35.0,11.0,,1.0,1.0,1.0,1.0,1.0,,5.0,26.0,36.0,,,,5.0,26.0,36.0,,,,5.0,26.0,36.0,,,,7.0,4.0,9.0,,,,7.0,4.0,0.0,,
scen_62,26.0,36.0,35.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,36.0,5.0,26.0,,,,9.0,7.0,4.0,,,,0.0,7.0,4.0,,,
